INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Dez/2008
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
0408020563 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DO ANTEBRACO 1 614,18 3 - -
0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA 1 3.276,98 8 - -
0408050020 AMPUTACAO / DESARTICULACAO DE PE E TARSO 1 404,26 18 - -
0408050136 RECONSTRUCAODE TENDAO PATELAR / TENDAO QUADRICIPITAL 1 1.602,18 1 - -
0408050489 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE) 1 3.112,52 22 1 100,00
0408050500 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DA TIBIA 1 1.636,86 4 - -
0408050667 TRATAMENTO CIRURGICO DE LESAO AGUDA CAPSULO-LIGAMENTAR MEMBRO INFERIOR (JOELHO / TORNOZELO) 2 1.703,65 3 - -
0408060174 OSTECTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE 1 649,74 3 - -
0408060360 RETIRADA DE FIXADOR EXTERNO 2 323,40 6 - -
0408060409 RETIRADA DE TRACAO TRANS-ESQUELETICA 1 233,17 1 - -
0408060450 TENOMIORRAFIA 1 205,91 1 - -
0409010170 INSTALACAO ENDOSCOPICA DE CATETER DUPLO J 1 218,68 1 - -
0409010197 LOMBOTOMIA 1 650,27 2 - -
0409010286 NEFROSTOMIA COM OU SEM DRENAGEM 1 650,27 2 - -
0409010480 TRATAMENTO CIRURGICO DE HEMORRAGIA VESICAL(FORMOLIZACAO DA BEXIGA) 1 499,31 2 - -
0409030023 PROSTATECTOMIA SUPRAPUBICA 1 851,06 2 - -
0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA 7 4.573,62 33 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 3 1.402,98 1 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 3 2.384,10 6 - -
0409060127 HISTERECTOMIA SUBTOTAL 2 1.902,98 3 1 50,00
0409060135 HISTERECTOMIA TOTAL 6 3.948,18 12 - -
0409060186 LAQUEADURA TUBARIA 5 1.815,10 5 - -
0409060194 MIOMECTOMIA 1 552,94 2 - -
0409060216 OOFORECTOMIA / OOFOROPLASTIA 2 1.067,72 5 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 4 1.889,72 9 - -
0409070157 EXERESE DE GLANDULA DE BARTHOLIN / SKENE 1 248,68 1 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 1 157,81 1 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 20 25.970,96 73 - -
0411010034 OPERACAO CESARIANA 163 124.710,16 307 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 8 8.760,12 14 - -
0411010077 SUTURA DE LACERACOES DE TRAJETO PELVICO 2 291,16 4 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 32 6.588,64 43 - -
0411020030 HISTERECTOMIA PUERPERAL 1 555,23 5 - -
0412040166 TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA 1 981,42 12 - -
0412040174 TORACOTOMIA EXPLORADORA 1 841,01 11 - -
0412050048 LOBECTOMIA PULMONAR 2 3.651,48 16 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 3 2.680,09 20 - -

Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.


COPIA COMO .CSV
COPIA PARA TABWIN
