 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês processamento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Jan/2008-Out/2025
"Ano/mês processamento";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"Outubro/2023";995;995;1273732,96;971724,94;-;-;302008,02;-;-;1280,13;1280,13;3660;3,7;10;1,01
"Novembro/2023";976;976;1211295,01;917429,63;-;-;293865,38;-;-;1241,08;1241,08;3530;3,6;14;1,43
"Dezembro/2023";986;986;1267527,82;966017,33;-;-;301510,49;-;-;1285,53;1285,53;3532;3,6;17;1,72
"2024";11350;11350;13645722,39;10334374,68;-;-;3311347,71;-;-;1202,27;1202,27;41282;3,6;205;1,81
"Janeiro/2024";923;923;1120734,71;852339,73;-;-;268394,98;-;-;1214,23;1214,23;3502;3,8;7;0,76
"Fevereiro/2024";901;901;1076555,55;817006,80;-;-;259548,75;-;-;1194,85;1194,85;3284;3,6;18;2,00
"Março/2024";1013;1013;1216377,30;908848,08;-;-;307529,22;-;-;1200,77;1200,77;3417;3,4;18;1,78
"Abril/2024";980;980;1184189,78;892129,77;-;-;292060,01;-;-;1208,36;1208,36;3466;3,5;16;1,63
"Maio/2024";974;974;1185992,09;897224,24;-;-;288767,85;-;-;1217,65;1217,65;3387;3,5;24;2,46
"Junho/2024";934;934;1129562,83;852711,81;-;-;276851,02;-;-;1209,38;1209,38;3370;3,6;26;2,78
"Julho/2024";909;909;1099788,96;838118,89;-;-;261670,07;-;-;1209,89;1209,89;3491;3,8;11;1,21
"Agosto/2024";918;918;1182122,56;908529,85;-;-;273592,71;-;-;1287,72;1287,72;3432;3,7;23;2,51
"Setembro/2024";896;896;980342,51;734512,34;-;-;245830,17;-;-;1094,13;1094,13;3133;3,5;10;1,12
"Outubro/2024";999;999;1185640,27;901749,79;-;-;283890,48;-;-;1186,83;1186,83;3604;3,6;17;1,70
"Novembro/2024";1012;1012;1159328,91;872219,65;-;-;287109,26;-;-;1145,58;1145,58;3753;3,7;21;2,08
"Dezembro/2024";891;891;1125086,92;858983,73;-;-;266103,19;-;-;1262,72;1262,72;3443;3,9;14;1,57
"2025";9483;9483;11714871,25;8852245,46;-;-;2862625,79;-;-;1235,35;1235,35;34316;3,6;142;1,50
"Janeiro/2025";871;871;1085609,68;827895,60;-;-;257714,08;-;-;1246,39;1246,39;3192;3,7;17;1,95
"Fevereiro/2025";810;810;947840,75;716857,99;-;-;230982,76;-;-;1170,17;1170,17;2928;3,6;7;0,86
"Março/2025";995;995;1193228,49;898132,20;-;-;295096,29;-;-;1199,22;1199,22;3743;3,8;18;1,81
"Abril/2025";992;992;1164684,93;873553,45;-;-;291131,48;-;-;1174,08;1174,08;3654;3,7;12;1,21
"Maio/2025";991;991;1177253,25;876648,34;-;-;300604,91;-;-;1187,94;1187,94;3550;3,6;20;2,02
