GRUPO: Procedimentos Com Finalidade Diagnóstica,,,,,,,,,
Procedimento,Descrição,Vl. Proced,Tipo de Item,,Qtd,Vl. SH,Vl. SP,,Total
0702040118,CATETER DE ACESSO VENOSO CENTRAL POR ,"3.652,80",,Item Especial,15,"3.652,80","0,00",,"3.652,80"
0702050059,CATETER BALAO P/ EMBOLECTOMIA ARTERIAL / ,"577,20",,Item Especial,6,"577,20","0,00",,"577,20"
0702050288,GRAMPEADOR LINEAR CORTANTE,"2.066,00",,Item Especial,2,"2.066,00","0,00",,"2.066,00"
0702050555,TELA INORGANICA DE POLIPROPILENO GRANDE ,"300,00",,Item Especial,2,"300,00","0,00",,"300,00"
0702050563,TELA INORGANICA DE POLIPROPILENO MEDIA (101 ,"250,00",,Item Especial,2,"250,00","0,00",,"250,00"
0702050571,TELA INORGANICA DE POLIPROPILENO PEQUENA ,"1.224,00",,Item Especial,12,"1.224,00","0,00",,"1.224,00"
0702060011,CATETER DUPLO J,"180,00",,Item Especial,1,"180,00","0,00",,"180,00"
Total do Grupo:,,,,,,,,76,"25.756,44"
GRUPO: Ações Complementares Da Atenção À Saúde,,,,,,,,,
Procedimento,Descrição,Vl. Proced,Tipo de Item,,Qtd,Vl. SH,Vl. SP,,Total
0801010047,INCENTIVO AO REGISTRO CIVIL DE NASCIMENTO,"1.920,00",,Item Especial,384,"1.920,00","0,00",,"1.920,00"
0802010016,DIARIA DE ACOMPANHANTE ADULTO (COM ,"3.632,00",,Item Especial,454,"3.632,00","0,00",,"3.632,00"
0802010024,DIARIA DE ACOMPANHANTE ,"2.192,00",,Item Especial,274,"2.192,00","0,00",,"2.192,00"
0802010032,DIARIA DE ACOMPANHANTE DE GESTANTE C/ ,"8.360,00",,Item Especial,1045,"8.360,00","0,00",,"8.360,00"
0802010040,DIARIA DE ACOMPANHANTE DE IDOSOS C/ ,"2.320,00",,Item Especial,290,"2.320,00","0,00",,"2.320,00"
0802010083,DIARIA DE UNIDADE DE TERAPIA INTENSIVA ,"173.400,00",,Item Especial,289,"147.390,00","26.010,00",,"173.400,00"
0802010121,DIÁRIA DE UNIDADE DE TERAPIA INTENSIVA ,"380.160,00",,Item Especial,528,"323.136,00","57.024,00",,"380.160,00"
0802010199,DIÁRIA DE PERMANÊNCIA A MAIOR,"7.021,00",,Item Especial,350,"5.666,50","0,00",,"5.666,50"
0802010237,DIÁRIA DE UNIDADE DE CUIDADOS ,"27.300,00",,Item Especial,91,"11.466,00","15.834,00",,"27.300,00"
0802010245,DIÁRIA DE UNIDADE DE CUIDADOS ,"17.400,00",,Item Especial,58,"7.308,00","10.092,00",,"17.400,00"
Total do Grupo:,,,,,,,,3763,"622.350,50"
Geral:  ,,,,,,,,,"1.395.238,89"
